Method,Epsilon,Dataset,Class,Baseline Accuracy,Method Accuracy,Accuracy Drop
untargeted_fgsm,epsilon_0.1,evaluation,Hydrant,1.0,0.90541,0.09458999999999995
untargeted_fgsm,epsilon_0.1,evaluation,Car,0.78378,0.54054,0.24324
untargeted_fgsm,epsilon_0.1,evaluation,Bridge,0.83784,0.64865,0.18919000000000008
untargeted_fgsm,epsilon_0.1,evaluation,Other,0.64865,0.47297,0.17567999999999995
untargeted_fgsm,epsilon_0.1,evaluation,Motorcycle,0.68919,0.45946,0.22973
untargeted_fgsm,epsilon_0.1,evaluation,Bus,0.97297,0.94595,0.027020000000000044
untargeted_fgsm,epsilon_0.1,evaluation,Chimney,0.64706,0.58824,0.05881999999999998
untargeted_fgsm,epsilon_0.1,evaluation,Bicycle,0.89189,0.28378,0.6081099999999999
untargeted_fgsm,epsilon_0.1,evaluation,Mountain,0.0,0.0,0.0
untargeted_fgsm,epsilon_0.1,evaluation,Crosswalk,0.89189,0.43243,0.45946
untargeted_fgsm,epsilon_0.1,evaluation,Traffic Light,0.86486,0.93243,-0.06757000000000002
untargeted_fgsm,epsilon_0.1,evaluation,Palm,0.78378,0.98649,-0.20270999999999995
