Label,Average Drop (%)
Hydrant,11.466666666666669
Palm,11.033333333333333
Traffic Light,10.266666666666667
Car,10.049999999999999
Bridge,9.533333333333333
Crosswalk,8.8
Other,8.700000000000001
Chimney,8.583333333333332
Motorcycle,7.849999999999999
Bus,7.7333333333333325
Bicycle,7.249999999999999
Mountain,0.0
